message;rubric
"- Нужно сверстать дизайн по готовому примеру, т.е. создать новый макет для каждой страницы!";Задачи
- Необходимо внести следующие изменения: На каждую страницу подгружать картинки с хостинга.;Задачи
Чтобы при нажатии на ссылку она загружалась автоматически.;Задачи
Также нужно будет изменить меню навигации и сделать его в одно место.;Задачи
Вставка изображений - Не нужно делать из картинок объекты.;задачи
Нужно сделать как показано на макете.;Задачи
"подменяешь просто свойство таблицы стилей background-image:url(путь до картинки или фугкция php на вытаскивание из базы); и всё;";Задачи
"можно ещё с помощью функции imagecreatefrompng из той же таблицы стилей сделать;";Задачи
"Есть ли способ, что я могу сделать это, как в фотошопе, где вы можете просто ввести текст и он будет отформатирован?";Задачи
"ты можешь сделать 1 страницу чисто прайс, а вторую как полное описание услуг. ";Задачи
И на странице прайс у тебя будет ссылка на полную статью.;Задачи
А на странице описание просто будет список услуг с их описанием.;Задачи
"Спрошу ещё, ты мне не можешь рассказать, почему при вводе текста на сайте его размер увеличивается в 2 раза, это в wordpress?";Задачи
"Возможно, стоит изменить цвет фона и границы – на более четкие и менее контрастные. ";Задачи
При разработке сайта должны быть использованы преимущественно светлые стили.;Задачи
Основные разделы сайта должны быть доступны с первой страницы.;Задачи
На первой странице не должно быть большого объема текстовой информации.;Задачи
"Главная страница сайта должна содержать графическую часть, навигационное меню сайта, а также контентную область для того, чтобы посетитель сайта с первой страницы мог получить вводную информацию о компании, а также ознакомиться с последними новостями компании.";Задачи
"Сайт должен быть оптимизирован для просмотра при разрешении 1024*768, 1280*1024 без горизонтальной полосы прокрутки и без пустых (белых) полей для основных типов разрешения.";Задачи
Элементы управления должны быть сгруппированы однотипно – горизонтально либо вертикально – на всех страницах.;Задачи
На каждой странице должны отображаться логотип компании и контактная информация.;Задачи
Интерфейс подключаемых модулей должен быть выполнен в едином стиле с интерфейсом ядра системы и должен обеспечивать возможность прозрачного перемещения администратора между модулями системы и использование одинаковых процедур управления и навигационных элементов для выполнения однотипных операций.;Задачи
"Сайт должен быть оформлен в светлых, желательно жёлто-бежевых тонах, а так же быть адаптивным для смартфонов и планшетов";Задачи
"Автоматизация полива деревьев должна включать в себя полив утром, днём, а так же в засушливую погоду";Задачи
"При разработке логотипа необходимо учитывать возрастную аудиторию продукции магазина, подстраиваться под их интересы и завлекать людей";Задачи
"чат-бот не должен работать от каждого сообщения пользователя, а лишь на определённые команды. Так же, он чат-бот должен быть защищён он перегрузок";Задачи
"Адаптивность сайта должна быть плавной, а так же писаться через пиксели, а не через относительную высоту и ширину";Задачи
"Описание сайта должно включать в себя их продукцию, а так же конечный продукт должен быть согласован с заказчиком";Задачи
"Автоматизация света в ТЦ должна работать не только от текущего времени, но так же от времени года и погоды на улице, поскольку всё это влияет на освещённость";Задачи
"На основной странице сайта не должно быть слишком много рекламы, а так же необходимо разместить страницу с заказами";Задачи
"Логотип должен быть оформлен в тёмных тонах, а текст на нём должен содержать светлые тона цветов. Логотип должен быть заметен";Задачи
"Второстепенные страницы сайта должны быть красиво расположены на основной странице сайта не только с компьютера, но и со смартфонов";Задачи
"Сайт навигации должен находиться строго сверху основной страницы, поскольку так будет понятно, куда переходить пользователю";Задачи
"Поступил заказ от компании SimbirSoft, им нужно очень красиво сверстать американский сайт. За работу хорошо платят";Работа
"Миша, до завтрашнего дня необходимо доделать программу для умного чайника";Работа
Кто готов сверстать сайт для компании американской? плаття много;Работа
Нужны люди для наполнения сайта. Задачи даются порционно.;Работа
Мне нужно продвижение моей ПРОДУКЦИИ на англоязычных порталах .;Работа
"Здравствуйте, я бы хотел раскрутить свою группу вконтакте по продаже мебели";Работа
"Здравствуйте, мне необходимо написать сайт с интернет-магазином для моей компании";Работа
Одна из Ульяновских компаний заказала интернет-магазин;Работа
Пиццерия "Шарлотка" ищет сотрудника из нашей компании для создания чат-бота по заказу пиццы. Бот должен работать в телеграме;Работа
"Мебельная компания ""Ахмет"" заказала создание их собственного логотипа, который будет связан с мебелью";Работа
Из Самары поступила работа. Вейп-шопу необходимо создать дизайнерское оформление для их сайта;Работа
"Сбербанк обратился к нашей компании, чтобы мы переделали внутреннюю часть их оффициального сайта, поскольку та работает некорректно";Работа
"Наша компания была выбрана, чтобы сделать оффициальный сайт правительства нашей ульяновской области";Работа
"К нам поступил заказ от иностранной компании ""Picarito"" на создание для них сайта, в котором будет доступен заказ их продукции. Сделать всё надо красиво";Работа
"Нужен программист, который готов сделать серию сайтов для одной иностранной компании. В неё входит ещё несколько компаний, для каждой из которых необходимо написать свой собственный, уникальный сайт. Кто из вас возьмёт это?";Работа
От компании "Samsung" поступил заказ на создание ПО для умного чайника и робота-пылесоса. Их необходимо сделать до нового года;Работа
"К нам поступил заказ на создание ПО для одного из дешёвейших телефонов, который производит одна малоизвестная российская компания. ";Работа
ТЦ "Оптимус" заказал разработку нескольких рекламных баннеров для рекламы их ТЦ;Работа
Надо  сделать автоматизацию подачи заявлений в различные гос. органы на различные тематики;Работа
"УлГУ заказал сделать сайт для их вуза, на котором будет информация о каждом факультете ";Работа
Необходимо автоматизировать производство кошачьего корма на заводе "Mars";Работа
Одна из школ Ульяновска сделала заказ на создание специального приложения для тестирования школьников;Работа
Ульяновский педагогический колледж №4 подал заявку на создание для их СУЗ нового логотипа;Работа
"От компании ""додопицца"" поступил заказ на создание чат-бота в telegram, который будет отвечать на вопросы покупателей об акциях, ценах и пр.";Работа
ТЦ "Аквамолл" запросил сделать для них автоматизацию включения и выключения света в бутиках и во  всём торговом центре;Работа
"Один из Московских ТЦ сделал заказ на создание Искуственного интеллекта, который будет следить за безопасностью в тц и в случае чего вызывать полицию";Работа
Небольшая компания по созданию мебели заказали автоматизацию по производству седушек для их диванов;Работа
Для одной иностранной компании необходимо сделать сайт под ключ;Работа
"В России появилась новая компания по производству клавиатур, для их клавиатур необходимо написать ПО";Работа
Робот-пылесос от компании "Xiaomi" работает неккорректно на территории РФ. Представитель компании заказал отладку и ремонт ПО пылесоса;Работа
Ювелирный магазин "Sokolov" сделал заказ на создание рекламного ролика для их компании;Работа
необходимо сверстать сайт по образцу (это не в коем случае не плагиат) и внести некоторые изменения.;Работа
Агрофирме "СпелоеЯблоко" необходимо автоматизировать полив их деревьев в теплице;Работа
От завода по производству макарошек поступил запрос на создание защиты их внутреннего ПО от взлома;Работа
"Прикиньте, сегодня аккумулятор накрылся в машине, я ехал на работу на маршрутке";Флуд
"Сегодня таксист попался такой добродушный, мы всю дорогу с ним разговаривали";Флуд
"Вчера моей доченьке исполнилось 7 лет, я очень рада этому";Флуд
"Кто куда, а я лично хожу в тренажёрный зал";Флуд
"Меня сегодня чуть не сбили около офиса, чёртов мотоциклист пронёсся прямо передо мной";Флуд
"А я себе сегодня взял щеночка с улицы, никак не могу налюбоваться";Флуд
"Кто-нибудь в курсе, есть ли у нас в городе хороший ресторан, хочу сводить туда свою вторую половинку";Флуд
"Ребят, у меня для вас всех печальная новость, я ухожу из нашей дружной компании. Всем спасибо за всё.";Флуд
"Вася, ты лучше всех из нас разбираешься в машинах, какую мне иномарку взять до 1 млн рублей?";Флуд
Продам рено логан чёрного цвета двадцатого века;Флуд
"сегодня у моей бабули умерла кошка, так жалко, бабуля вся на нервах";Флуд
"Вчера какой-то ненормальный ломился в дверь подъезда, чёртовы алкаши на улицах";Флуд
"Сдавал сегодня на права, и прикиньте, я смог сдать, никогда не думал, что этот день настанет";Флуд
"народ, а на улице сегодня холодно или нет? а то я опаздываю и вот думаю, что надеть";Флуд
"Какая школа лучше 65 или 69, они обе около меня, не знаю куда своего сына отдать";Флуд
Есть у кого-то номер хорошого парикмахера? я хотела сделать себе осветление;Флуд
"У меня сегодня родила кошка дома, я теперь бабушка, получается";Флуд
Мой папугай сегодня сказал мне привет;Флуд
Кто-то может помочь мне с переноской мебели дома? делаю ремонт;Флуд
"Хочу выбрать новый ноутбук себе для работы, какой можете посоветовать?";Флуд
"Собаку подобрал сегодня с улицы, никому не нужна? вроде собака похожа на лабрадора";Флуд
"Ребята, я наконец вышла замуж! Мы просто расписались, без пышной свадьбы";Флуд
"Купил себе сегодня новый телефон, не могу вам не похвастаться, коллеги)";Флуд
"Завтра на работу я не смогу придти, у меня там семейные дела";Флуд
"Где лучше купить дом, на севере или в дальнем засвияжье?";Флуд
"какой робот-пылесос я могу себе купить домой? Кого порекомендуете, ребята? а то собака линяет";Флуд
"Учительница в школе сегодня поставила моей дочери оценку 2 ни за что, что за фигня, ребят, как с этим разобраться";Флуд
Вы за кого будете голосовать 19 сентября в государственную думу?;Флуд
"я сегодня купила консеры, и они блин просроченные, как деньги то вернуть теперь";Флуд
"На меня подали в суд, потому что я шумела после 10 часов вечера, хоть я ничего и не делала, офигели соседи";Флуд
"Народ, какой лучше автомобиль подарить своей жене, хочу купить теслу за 30 лямов";Флуд
"Смотрите, какую шутку я нашёл в интернете .ахахаха, собака убежала от кошки ахахаха";Флуд
"Сегодня будет митинг, пошлите все гулять, народ. Поддержим !!!!";Флуд
